id,name,weight
1,Cellphone,180
2,Backpack,700
3,Wristwatch,150
4,Umbrella,400
5,Insulated Water Bottle,600
6,Multi-tool,250
7,Energy Drink,355
8,Protein Shake,450
9,Energy Gel,40
10,Focus Tonic,200
11,Smelling Salts,50
12,Medical Spray,150
13,Muscle Relaxant,250
14,Fighter's Booster,200
15,Champion's Essence,80
16,Portable Charger,150
17,Ballpoint Pen,450
18,Grip Powder,100
19,Focus Bandana,80
20,Flashbang,350
21,Body Slam EP:,50
22,Pocket Notebook,200
23,Endurance Injection,50
24,Mental Focus Training,250
25,Steroids,50
26,Ironskin Steroid,250
27,Chi Training,250
28,Practical Training,250
29,Speed Training,250
30,Psionic Training,250
31,Wireless Earbuds,50
32,Vital Strike EP:,50
33,Freezing Moon EP:,50
34,Blazing Kick EP:,50
35,Guard Breaker,250
36,LED Flashlight,200
37,Pro Statusguard,250
38,Perfect Block EP:,50
39,Fighter's Focus,250
40,Starlit Tape,100
41,Coffee Cup,250
42,Master's Gloves,200
43,Thunder Dragon Boots,1200
44,Imperial Jing,250
45,Forbidden Technique Scroll,50
46,Rose,250
47,Tournament Stimulant,100
48,Corner Cutman Kit,1500
49,Speed Spray,150
50,Defensive Stance Pill,1
51,Wireless Headphones,250
52,Keys Knuckles,300
53,Steel Pipe,2000
54,Pocket Sand,100
55,Molotov Cocktail,600
56,Karate Combo EP:,30
57,Judo Throw EP:,50
58,Taekwondo Kicks EP:,50
59,Granola Bar,50
60,Penta Protein Program,10
61,Power Enhancer,150
62,Reflex Enhancer,150
63,Ultimate Booster,200
64,Compact Umbrella,400
65,Flowing Water EP:,10
66,Dragon Eye Elixir,250
67,Ki Strike EP:,50
68,Pocket Parasol,300
69,Crystal Running Shoes,300
70,Holy See's Remedy,200
71,Berserker Amulet,100
72,Broken Cryocell,250
73,Floating skull,1000
74,Spirit Parasite,250
75,Bottled Water,500
76,Iron Strike EP:,50
77,Eight Pillars EP:,1
78,Morphine,50
79,Red Cocaine,250
80,Angel Dust,250
81,Tryptocaine,250
82,Speed,250
83,Crank,250
84,Black Market Cocktail,1500
85,Tranquilizer,50
86,Sword Keychain,1500
87,Omega Stimulant,100
88,UV Protection Sunglasses,40
89,Championship Belt,2500
90,Signed Gloves,200
91,Tournament Trophy,3000
92,Ancient Fighting Coin,10
93,Vintage Fight Poster,100
94,Fighter's Medallion,150
95,Champion's Tooth,250
96,Historic Ring Canvas,1000
97,Fighter Action Figure,250
98,Dandelion,250
99,Golden Hand Statue,250
100,Ancient Technique Scroll,50
101,Antique Training Weight,250
102,Historic Match Gloves,200
103,Diamond Fist,250
104,Hand Sanitizer,250
105,Torn Gloves,200
106,Old Gym Nameplate,500
107,Used Hand Wraps,250
108,Fight Ticket Stubs,1
109,Cracked Mouthguard,250
110,Utensil Set,200
111,Local Map,40
112,Water Flask,700
113,Climbing Rope,2000
114,Rubbish,100
115,Whetstone,200
116,Sewing Kit,150
117,Candle,200
118,Fishing Rod,500
119,Clay Water Pot,1500
120,Travel Journal,300
121,Walking Stick,800
122,Plastic Bowl Set,400
123,Wooden Chair,5000
124,Lantern,1000
125,Travel Backpack,700
126,Bedroll,1500
127,Cooking Pot,2000
128,Utensil Set,200
129,Acetaminophen Tablets,500
130,Ibuprofen Capsules,250
131,Calcium Antacid,250
132,Cetirizine Relief,250
133,Dextromethorphan,250
134,Pseudoephedrine Tabs,50
135,Simethicone Drops,250
136,Bisacodyl Tablets,500
137,Bacitracin Ointment,250
138,Loperamide Capsules,250
139,Hydrocortisone Cream,250
140,Electrolyte Powder,100
141,Menthol Throat Drops,250
142,Methyl Salicylate Cream,250
143,Clotrimazole Antifungal,250
144,Saline Nasal Spray,250
145,Minimum Vitality Tincture,150
146,Healing Droplets,250
147,Quantum Wellness Elixir,250
148,Ethereal Solution,200
149,Infinitesimal Vitality Essence,80
150,Resonance Healing Mist,250
151,Vibrational Recovery Serum,150
152,Energetic Alignment Drops,250
153,Quantum Regeneration Nanites,100
154,Genome Optimization Serum,150
155,Chronos Immortality Elixir,250
156,Cybernetic Overdrive Implant,300
157,Neuro-Quantum Amplifier,500
158,Quantum Resurrection Protocol,250
159,Potential Catalyst,200
160,Omega Singularity Serum,150
161,Comfort Sleeping Bag,2000
162,Mood-Enhancing Feast,250
163,Relaxation Bath Kit,800
164,Social Connection Game,250
165,Home Fitness System,20000
166,Immersive Entertainment Hub,250
167,Romantic Encounter Kit,500
168,Career Advancement Package,250
169,Stress Relief Program,250
170,Pocket Bonsai,250
171,Cigarette Pack,25
172,Nun Beer Six-Pack,2300
173,Hexphone Communicator,180
174,Extended Life Batteries,900
175,Premium Whiskey,800
176,Portable Caffeinator,15000
177,Pocket Sound System,250
178,Extreme Energy Pack,250
179,Immersive Sound Cancellers,355
180,Digital Music Player,100
181,EHI Pilot PDA,200
182,CD Case,250
183,Digital Camera,350
184,Color Flip Mobile Phone,180
185,Handheld Gaming Console,400
186,Portable GPS Navigator,15000
187,Massive Storage Drive,250
188,Pocket Video Recorder,150
189,Pocket Language Translator,120
190,Escape kit,700
191,Health Potion,200
192,Mana Potion,200
193,Phoenix Pepper,100
194,Elixir of Varlenia,250
195,Giant's Strength Potion,200
196,Swift Wind Elixir,250
197,Dragon Scale Barrier,100
198,Archmage's Elixir,250
199,Fireball Scroll,50
200,Lightning Bolt Scroll,50
201,Shield Scroll,4000
202,Invisibility Scroll,50
203,Elven Waybread,250
204,Elven Rope,2000
205,Fairy Lantern,1000
206,Skeleton Key,20
207,Philosopher's Elixir,250
208,Thunder Crystal,300
209,Enchanted Quill,10
210,Dream Dust,50
211,Golden Apple,200
212,Mage's Crystal,300
213,Dragon Scale Amulet,100
214,Frostwarding Ring,20
215,Cloak of Shadows,1000
216,Pathfinder's Compass,100
217,Bag of Holding,500
218,Chains of Swiftness,250
219,Gauntlets of Might,1500
220,Throwing Knife,150
221,Shuriken,50
222,Fire Pot,2000
223,Caltrops,1000
224,Frost Bomb,250
225,Vial of Miasma,150
226,Throwing Axe,800
227,Hunting Net,250
228,Sunburst Crystal,300
229,Warning Amulet,100
230,Crystal Lens of Revelation,300
231,Regeneration Herb,10
232,Scroll of Arcane Destruction,50
233,Circlet of Mental Mastery,200
234,Feather of Levitation,1
235,One time use jetpack Jetpack,15000
236,Dragon's Blood Elixir,250
237,Fruit of Yggdrasil,200
238,Sorcerer's Soul Crystal,300
239,Ambrosia,300
240,Wish-Granting Orb,500
241,Forbidden War EP:,500
242,Chronos Hourglass,800
243,Miracle Elixir,250
244,World Tree Seed,10
245,Scroll of Outer entities,50
246,Scroll of Elder Names,50
247,Fraudulent Healing Potion,200
248,Fake Crystal Ball,2000
249,Toy Magic Wand,100
250,Empty Spellbook,2500
251,Useless Charm,50
252,Potion of Mild Translucence,200
253,Empty Demon Container,250
254,Fake Treasure Map,40
255,Mundane Glowing Stone,10
256,False Immortality,250
257,Pet Rock,500
258,Beast Tongue Elixir,250
259,Not-So-Magic Bean,250
260,Non-Flying Cape,250
261,Ring of Minor Acoustics,20
262,Dragon's Belch Potion,200
263,Counterfeit Phoenix Feather,1
264,Fake Dragon Egg,60
265,Potion of Mild Tinting,200
266,Fake Transmutation Powder,100
267,"Fool's Alchemy Dust ",250
268,Craftsman's Backpack,700
269,Artisan's Throwing Knife Set,150
270,Navigator's Compass,100
271,Cobbler's Boots,1200
272,Weaver's Cloak,1000
273,Clockmaker's Timepiece,250
274,Scribe's Quill,10
275,Toolmaker's Multi-tool,250
276,Bowyer's Bow,1500
277,Optician's Lens,50
278,Cheesemaker's Wheel,200
279,Perfect Bread,500
280,Brewer's Coffee,250
281,Herbalist's Salve,100
282,Bladesmith's Dagger,200
283,Glover's Handwear,250
284,Magician's Flute,300
285,Varlenia's Wine,750
286,Bookbinder's Journal,300
287,Woodcarver's Staff,1000
288,Pixie Dust Vial,150
289,Twilight Dewdrop,250
290,Whisperwood Acorn Ring,20
291,Fae Bell of Summoning,150
292,Everbloom Rose,250
293,Quickgrowth Seed,10
294,Truth-seeing Glass,400
295,Fungi Chalice,400
296,Faesoil Pouch,300
